country,year,item,r,n,survey,cc_rank
Germany,2013,gen_clicon_11,5,66.79939131233236,eb802_c,536
Germany,2013,gen_clicon_11,6,164.1607815844699,eb802_c,536
Germany,2013,gen_clicon_11,7,116.60528543148425,eb802_c,536
Germany,2013,gen_clicon_11,8,240.15306767358265,eb802_c,536
Germany,2013,gen_clicon_11,9,318.82230353290356,eb802_c,536
Germany,2013,gen_clicon_11,10,172.18254489926858,eb802_c,536
Germany,2013,gen_clicon_11,11,428.3789602025307,eb802_c,536
Germany,2013,gen_clicon_2,1,14032.362723779079,"eb793, eb793, eb801, eb801, eb801, eb802_c, eb802_c, eb802_c, eb802_c, eb802_c, eb802_c, eb802_c",536
Germany,2013,gen_clicon_2,2,4893.113957888579,"eb793, eb793, eb801, eb801, eb801, eb802_c, eb802_c, eb802_c, eb802_c, eb802_c, eb802_c, eb802_c",536
Germany,2013,gen_clicon_3,1,67.71577398663467,pew2013,536
Germany,2013,gen_clicon_3,2,379.81294358657726,pew2013,536
Germany,2013,gen_clicon_3,3,571.1702997,pew2013,536
Germany,2013,gen_indchge_2,1,1110.7010487434845,eb802_c,536
Germany,2013,gen_indchge_2,2,489.29641221702843,eb802_c,536
Germany,2013,sup_govaction_2,1,6896.050855,"eb793, eb801, eb801, eb802_c, eb802_c",536
Germany,2013,sup_govaction_2,2,943.9519691170859,"eb793, eb801, eb801, eb802_c, eb802_c",536
Germany,2013,sup_govaction_4,1,77.48537640318644,"eb802_c, eb802_c",536
Germany,2013,sup_govaction_4,2,274.5881888540739,"eb802_c, eb802_c",536
Germany,2013,sup_govaction_4,3,1309.207845549381,"eb802_c, eb802_c",536
Germany,2013,sup_govaction_4,4,1472.8573613687267,"eb802_c, eb802_c",536
Germany,2014,gen_clicon_2,1,8578.4681933344309,"eb814, eb814, eb814, eb823, eb823, eb823",536
Germany,2014,gen_clicon_2,2,979.5307518710772,"eb814, eb814, eb814, eb823, eb823, eb823",536
Germany,2015,climate_chg_4,1,31.57478064019867,eb834,536
Germany,2015,climate_chg_4,2,196.98324099395992,eb834,536
Germany,2015,climate_chg_4,3,722.1503146420549,eb834,536
Germany,2015,climate_chg_4,4,472.64632258320347,eb834,536
Germany,2015,gen_clicon_10,1,26.879231544993438,eb834,536
Germany,2015,gen_clicon_10,2,6.701375135874624,eb834,536
Germany,2015,gen_clicon_10,3,38.702413784715944,eb834,536
Germany,2015,gen_clicon_10,4,54.04495809579574,eb834,536
Germany,2015,gen_clicon_10,5,137.15237878085134,eb834,536
Germany,2015,gen_clicon_10,6,149.69438703514848,eb834,536
Germany,2015,gen_clicon_10,7,255.86021618772787,eb834,536
Germany,2015,gen_clicon_10,8,313.38241535402693,eb834,536
Germany,2015,gen_clicon_10,9,142.09508688106786,eb834,536
Germany,2015,gen_clicon_10,10,381.6331447378536,eb834,536
Germany,2015,gen_clicon_2,1,13853.00633736349,"eb833, eb833, eb833, eb834, eb834, eb834, eb834, eb843, eb843, eb843, eb834",536
Germany,2015,gen_clicon_2,2,3018.0085307674385,"eb833, eb833, eb833, eb834, eb834, eb834, eb834, eb843, eb843, eb843, eb834",536
Germany,2015,gen_clicon_4,1,348.17488762974256,"pew2015, pew2015, pew2015, pew2015, eb832",536
Germany,2015,gen_clicon_4,2,1071.0860013684098,"pew2015, pew2015, pew2015, pew2015, eb832",536
Germany,2015,gen_clicon_4,3,1923.1134103677323,"pew2015, pew2015, pew2015, pew2015, eb832",536
Germany,2015,gen_clicon_4,4,2152.025373021934,"pew2015, pew2015, pew2015, pew2015, eb832",536
Germany,2015,gen_indchge_2,1,1342.989148404727,"pew2015, eb834",536
Germany,2015,gen_indchge_2,2,1112.7539795283858,"pew2015, eb834",536
Germany,2015,intcomm_coop_4,1,15.40697931238626,eb834,536
Germany,2015,intcomm_coop_4,2,32.53286865962451,eb834,536
Germany,2015,intcomm_coop_4,3,262.8714173298844,eb834,536
Germany,2015,intcomm_coop_4,4,1192.5415301795344,eb834,536
Germany,2015,sup_govaction_2,1,4230.715291149078,"pew2015, eb833, eb834, eb834, eb834",536
Germany,2015,sup_govaction_2,2,2851.900946,"pew2015, eb833, eb834, eb834, eb834",536
Germany,2016,climate_chg_3,1,940.5340230391264,"abk2016_de, abk2016_de",536
Germany,2016,climate_chg_3,2,692.8861545403458,"abk2016_de, abk2016_de",536
Germany,2016,climate_chg_3,3,1560.5481859169672,"abk2016_de, abk2016_de",536
Germany,2016,climate_chg_4,1,34.38948496244237,ess8,536
Germany,2016,climate_chg_4,2,92.93712874,ess8,536
Germany,2016,climate_chg_4,3,922.7896829281717,ess8,536
Germany,2016,climate_chg_4,4,1783.540785027682,ess8,536
Germany,2016,climate_indtax_2,1,906.0928047997509,lits_wave3,536
Germany,2016,climate_indtax_2,2,417.2648433,lits_wave3,536
Germany,2016,climate_pri_2,1,2034.4730521654142,"eb852_c, eb682_c",536
Germany,2016,climate_pri_2,2,1088.5425886464745,"eb852_c, eb682_c",536
Germany,2016,climate_tax_5,1,244.77638606331354,ess8,536
Germany,2016,climate_tax_5,2,788.6229842657083,ess8,536
Germany,2016,climate_tax_5,3,666.9341604198203,ess8,536
Germany,2016,climate_tax_5,4,852.9088568538651,ess8,536
Germany,2016,climate_tax_5,5,259.72088832197744,ess8,536
Germany,2016,gen_clicon_2,1,11451.382188864622,"eb852, eb852, eb852, eb862, eb862, eb862, eb852_c, eb682_c",536
Germany,2016,gen_clicon_2,2,1040.6803743829325,"eb852, eb852, eb852, eb862, eb862, eb862, eb852_c, eb682_c",536
Germany,2016,gen_clicon_3,1,55.65778757,pew2016,536
Germany,2016,gen_clicon_3,2,284.3294425820415,pew2016,536
Germany,2016,gen_clicon_3,3,653.6723428,pew2016,536
Germany,2016,gen_clicon_4,1,171.5156942280498,"abk2016_de, abk2016_de, abk2016_de",536
Germany,2016,gen_clicon_4,2,558.1054801940724,"abk2016_de, abk2016_de, abk2016_de",536
Germany,2016,gen_clicon_4,3,1722.0274469752892,"abk2016_de, abk2016_de, abk2016_de",536
Germany,2016,gen_clicon_4,4,2340.008404855262,"abk2016_de, abk2016_de, abk2016_de",536
Germany,2016,gen_clicon_5,1,328.1173329135744,"abk2016_de, ess8",536
Germany,2016,gen_clicon_5,2,1531.9058402212904,"abk2016_de, ess8",536
Germany,2016,gen_clicon_5,3,1782.503459187373,"abk2016_de, ess8",536
Germany,2016,gen_clicon_5,4,678.4607839177459,"abk2016_de, ess8",536
Germany,2016,gen_clicon_5,5,115.9045878361446,"abk2016_de, ess8",536
Germany,2016,spe_indchge_11,1,17.70726883173664,ess8,536
Germany,2016,spe_indchge_11,2,5.973073802,ess8,536
Germany,2016,spe_indchge_11,3,32.12742698617391,ess8,536
Germany,2016,spe_indchge_11,4,38.52440593656826,ess8,536
Germany,2016,spe_indchge_11,5,38.31245336236162,ess8,536
Germany,2016,spe_indchge_11,6,133.88163419405905,ess8,536
Germany,2016,spe_indchge_11,7,110.59048653875236,ess8,536
Germany,2016,spe_indchge_11,8,229.66276759996313,ess8,536
Germany,2016,spe_indchge_11,9,516.8289254134709,ess8,536
Germany,2016,spe_indchge_11,10,568.3053307929346,ess8,536
